sample,key,value
session_info_load_09,"read-total","28452943"
session_info_load_09,"write-current","0"
session_info_load_09,"write-last-5min","228901"
session_info_load_09,"write-total","15379200"
session_info_load_09,"duration-current-service","0"
session_info_load_09,"duration-last-5min-service","3858"
session_info_load_09,"duration-all-service","17858"
session_info_load_09,"current-service-name",""
session_info_load_09,"cpu-time-current","1283"
session_info_load_09,"cpu-time-last-5min","39720"
session_info_load_09,"cpu-time-total","209156"
session_info_load_09,"data-separation","''"
session_info_load_09,"client-ip","127.0.0.1"
session_info_load_10,"session","25510e27-f24a-4586-9ac9-9f7837c0dea1"
session_info_load_10,"session-id","3"
session_info_load_10,"infobase","717bdda7-2f60-4577-b262-f1fc8c0e472c"
session_info_load_10,"connection","00000000-0000-0000-0000-000000000000"
session_info_load_10,"process","00000000-0000-0000-0000-000000000000"
session_info_load_10,"user-name","DefUser"
session_info_load_10,"host","alko-home"
session_info_load_10,"app-id","1CV8C"
session_info_load_10,"locale","ru"
session_info_load_10,"started-at","2026-02-15T00:10:57"
session_info_load_10,"last-active-at","2026-02-16T00:29:23"
session_info_load_10,"hibernate","no"
session_info_load_10,"passive-session-hibernate-time","1200"
session_info_load_10,"hibernate-session-terminate-time","86400"
session_info_load_10,"blocked-by-dbms","0"
session_info_load_10,"blocked-by-ls","0"
session_info_load_10,"bytes-all","27923994"
session_info_load_10,"bytes-last-5min","6374737"
session_info_load_10,"calls-all","22824"
session_info_load_10,"calls-last-5min","5157"
session_info_load_10,"dbms-bytes-all","39205906"
session_info_load_10,"dbms-bytes-last-5min","8875621"
session_info_load_10,"db-proc-info",""
session_info_load_10,"db-proc-took","0"
session_info_load_10,"db-proc-took-at",""
session_info_load_10,"duration-all","548393"
session_info_load_10,"duration-all-dbms","23050"
session_info_load_10,"duration-current","0"
session_info_load_10,"duration-current-dbms","0"
session_info_load_10,"duration-last-5min","123307"
session_info_load_10,"duration-last-5min-dbms","5387"
session_info_load_10,"memory-current","0"
session_info_load_10,"memory-last-5min","39069270"
session_info_load_10,"memory-total","591755843"
session_info_load_10,"read-current","0"
session_info_load_10,"read-last-5min","1474909"
session_info_load_10,"read-total","28523403"
session_info_load_10,"write-current","0"
session_info_load_10,"write-last-5min","228901"
session_info_load_10,"write-total","15379200"
session_info_load_10,"duration-current-service","0"
session_info_load_10,"duration-last-5min-service","4157"
session_info_load_10,"duration-all-service","18157"
session_info_load_10,"current-service-name",""
session_info_load_10,"cpu-time-current","0"
session_info_load_10,"cpu-time-last-5min","44622"
session_info_load_10,"cpu-time-total","214058"
session_info_load_10,"data-separation","''"
session_info_load_10,"client-ip","127.0.0.1"
session_info_load_11,"session","25510e27-f24a-4586-9ac9-9f7837c0dea1"
session_info_load_11,"session-id","3"
session_info_load_11,"infobase","717bdda7-2f60-4577-b262-f1fc8c0e472c"
session_info_load_11,"connection","00000000-0000-0000-0000-000000000000"
session_info_load_11,"process","00000000-0000-0000-0000-000000000000"
session_info_load_11,"user-name","DefUser"
session_info_load_11,"host","alko-home"
session_info_load_11,"app-id","1CV8C"
session_info_load_11,"locale","ru"
session_info_load_11,"started-at","2026-02-15T00:10:57"
session_info_load_11,"last-active-at","2026-02-16T00:29:33"
session_info_load_11,"hibernate","no"
session_info_load_11,"passive-session-hibernate-time","1200"
session_info_load_11,"hibernate-session-terminate-time","86400"
session_info_load_11,"blocked-by-dbms","0"
session_info_load_11,"blocked-by-ls","0"
session_info_load_11,"bytes-all","28547475"
session_info_load_11,"bytes-last-5min","6606109"
session_info_load_11,"calls-all","23321"
session_info_load_11,"calls-last-5min","5367"
session_info_load_11,"dbms-bytes-all","39797688"
session_info_load_11,"dbms-bytes-last-5min","8832009"
session_info_load_11,"db-proc-info",""
session_info_load_11,"db-proc-took","0"
session_info_load_11,"db-proc-took-at",""
session_info_load_11,"duration-all","553655"
session_info_load_11,"duration-all-dbms","23434"
session_info_load_11,"duration-current","0"
session_info_load_11,"duration-current-dbms","0"
session_info_load_11,"duration-last-5min","125306"
session_info_load_11,"duration-last-5min-dbms","5480"
session_info_load_11,"memory-current","0"
session_info_load_11,"memory-last-5min","25989402"
session_info_load_11,"memory-total","591853107"
session_info_load_11,"read-current","0"
session_info_load_11,"read-last-5min","1401051"
session_info_load_11,"read-total","28599086"
session_info_load_11,"write-current","0"
session_info_load_11,"write-last-5min","189652"
session_info_load_11,"write-total","15379200"
session_info_load_11,"duration-current-service","0"
session_info_load_11,"duration-last-5min-service","4301"
session_info_load_11,"duration-all-service","18506"
session_info_load_11,"current-service-name",""
session_info_load_11,"cpu-time-current","0"
session_info_load_11,"cpu-time-last-5min","46062"
session_info_load_11,"cpu-time-total","218137"
session_info_load_11,"data-separation","''"
session_info_load_11,"client-ip","127.0.0.1"
session_info_load_12,"session","25510e27-f24a-4586-9ac9-9f7837c0dea1"
session_info_load_12,"session-id","3"
session_info_load_12,"infobase","717bdda7-2f60-4577-b262-f1fc8c0e472c"
session_info_load_12,"connection","00000000-0000-0000-0000-000000000000"
session_info_load_12,"process","00000000-0000-0000-0000-000000000000"
session_info_load_12,"user-name","DefUser"
session_info_load_12,"host","alko-home"
session_info_load_12,"app-id","1CV8C"
session_info_load_12,"locale","ru"
session_info_load_12,"started-at","2026-02-15T00:10:57"
session_info_load_12,"last-active-at","2026-02-16T00:29:34"
session_info_load_12,"hibernate","no"
session_info_load_12,"passive-session-hibernate-time","1200"
session_info_load_12,"hibernate-session-terminate-time","86400"
session_info_load_12,"blocked-by-dbms","0"
session_info_load_12,"blocked-by-ls","0"
session_info_load_12,"bytes-all","28598081"
session_info_load_12,"bytes-last-5min","6656715"
session_info_load_12,"calls-all","23353"
session_info_load_12,"calls-last-5min","5399"
session_info_load_12,"dbms-bytes-all","39802649"
session_info_load_12,"dbms-bytes-last-5min","8836970"
session_info_load_12,"db-proc-info",""
session_info_load_12,"db-proc-took","0"
session_info_load_12,"db-proc-took-at",""
session_info_load_12,"duration-all","553792"
session_info_load_12,"duration-all-dbms","23442"
session_info_load_12,"duration-current","0"
session_info_load_12,"duration-current-dbms","0"
session_info_load_12,"duration-last-5min","125443"
session_info_load_12,"duration-last-5min-dbms","5488"
session_info_load_12,"memory-current","0"
session_info_load_12,"memory-last-5min","25432130"
session_info_load_12,"memory-total","591295835"
session_info_load_12,"read-current","0"
session_info_load_12,"read-last-5min","1404695"
session_info_load_12,"read-total","28602730"
session_info_load_12,"write-current","0"
session_info_load_12,"write-last-5min","189652"
session_info_load_12,"write-total","15379200"
session_info_load_12,"duration-current-service","0"
session_info_load_12,"duration-last-5min-service","4301"
session_info_load_12,"duration-all-service","18506"
session_info_load_12,"current-service-name",""
session_info_load_12,"cpu-time-current","0"
session_info_load_12,"cpu-time-last-5min","46161"
session_info_load_12,"cpu-time-total","218236"
session_info_load_12,"data-separation","''"
session_info_load_12,"client-ip","127.0.0.1"
session_info_load_13,"session","25510e27-f24a-4586-9ac9-9f7837c0dea1"
session_info_load_13,"session-id","3"
session_info_load_13,"infobase","717bdda7-2f60-4577-b262-f1fc8c0e472c"
session_info_load_13,"connection","00000000-0000-0000-0000-000000000000"
session_info_load_13,"process","00000000-0000-0000-0000-000000000000"
session_info_load_13,"user-name","DefUser"
session_info_load_13,"host","alko-home"
session_info_load_13,"app-id","1CV8C"
session_info_load_13,"locale","ru"
session_info_load_13,"started-at","2026-02-15T00:10:57"
session_info_load_13,"last-active-at","2026-02-16T00:29:34"
session_info_load_13,"hibernate","no"
session_info_load_13,"passive-session-hibernate-time","1200"
session_info_load_13,"hibernate-session-terminate-time","86400"
session_info_load_13,"blocked-by-dbms","0"
session_info_load_13,"blocked-by-ls","0"
session_info_load_13,"bytes-all","28598081"
session_info_load_13,"bytes-last-5min","6656715"
session_info_load_13,"calls-all","23353"
session_info_load_13,"calls-last-5min","5399"
session_info_load_13,"dbms-bytes-all","39802649"
session_info_load_13,"dbms-bytes-last-5min","8836970"
session_info_load_13,"db-proc-info",""
session_info_load_13,"db-proc-took","0"
session_info_load_13,"db-proc-took-at",""
session_info_load_13,"duration-all","553792"
session_info_load_13,"duration-all-dbms","23442"
session_info_load_13,"duration-current","0"
session_info_load_13,"duration-current-dbms","0"
session_info_load_13,"duration-last-5min","125443"
session_info_load_13,"duration-last-5min-dbms","5488"
session_info_load_13,"memory-current","0"
session_info_load_13,"memory-last-5min","25432130"
session_info_load_13,"memory-total","591295835"
session_info_load_13,"read-current","0"
